group,id,rank,title,kind,decision,platform,analysis,sourcePath,full,thumb,hash,width,height,bytes_original,bytes_full,missing
recommended,01,1,IMG 0498 - Primary facade refine first,facade,REFINE_FIRST,GMB cover + all dine platforms,"Best actual raw facade source. Centered signboard, readable Hamza Express identity, open entrance, storefront depth. Remove street clutter and lift exposure without changing signage.",/Users/nihaf/Desktop/HE_Facade_Prompt_Pack_2026-05-15/00_PROMPT_READY/01_new_raw_facade_from_zip/IMG_0498.JPG,media/full/recommended-01.jpg,media/thumb/recommended-01.jpg,2bd57f4c576adc8469061715e66d6fb81c2e14c5a633c8ef2575a3ffad1b3bab,3648,5472,5676856,351237,False
recommended,02,2,IMG 0497 - Wide storefront context,facade,ENHANCE,GMB gallery + Zomato Dining,"Wider location proof with neighboring Zia board. Useful for Maps trust, but needs crop, car/clutter control, and cleaner foreground.",/Users/nihaf/Desktop/HE_Facade_Prompt_Pack_2026-05-15/00_PROMPT_READY/01_new_raw_facade_from_zip/IMG_0497.JPG,media/full/recommended-02.jpg,media/thumb/recommended-02.jpg,b0496af98ccec5231b4297db48bfa48047d58e0d6c431434c9d4cd138fcdd841,3648,5472,5754363,351691,False
recommended,03,3,IMG 0500 - Straight facade variant,facade,ENHANCE,GMB + EazyDiner,Good centered exterior and entrance. Similar to primary but slightly less clean; keep as second exterior upload.,/Users/nihaf/Desktop/HE_Facade_Prompt_Pack_2026-05-15/00_PROMPT_READY/01_new_raw_facade_from_zip/IMG_0500.JPG,media/full/recommended-03.jpg,media/thumb/recommended-03.jpg,b4f59fd540c471e3289a1d4f9093affcef8d80f934a58823f722b576d42cd545,3648,5472,5526086,340945,False
recommended,04,4,IMG 0501 - Angled sign and counter,facade,ENHANCE,Zomato Dining + Swiggy Dineout,Strong diagonal facade angle with counter visibility. Good platform gallery image after brightening and perspective correction.,/Users/nihaf/Desktop/HE_Facade_Prompt_Pack_2026-05-15/00_PROMPT_READY/01_new_raw_facade_from_zip/IMG_0501.JPG,media/full/recommended-04.jpg,media/thumb/recommended-04.jpg,8cd0cec3e6669901d40f7aebfbb40134f54d68ac46177ce655d2c983493629d2,3648,5472,5546611,348660,False
recommended,05,5,IMG 0504 - Angled facade alternate,facade,ENHANCE,Swiggy Dineout alternate,Good alternate exterior with visible service counter. Keep if we want 5 exterior options in a 16-photo ambience pack.,/Users/nihaf/Desktop/HE_Facade_Prompt_Pack_2026-05-15/00_PROMPT_READY/01_new_raw_facade_from_zip/IMG_0504.JPG,media/full/recommended-05.jpg,media/thumb/recommended-05.jpg,6bd021db0407f90ac3d8891066866f292848d8f9c479488cb1e2c2056a77ccfd,3648,5472,5546587,347202,False
recommended,06,6,Enhanced facade reference - HE 01,facade-enhanced,REFERENCE_OR_UPLOAD,Style reference / possible listing upload,"Already enhanced facade mood reference. Looks premium and warm; use as target style, but verify realism before direct platform upload.",/Users/nihaf/Desktop/HE_Enhanced_External_Ambience_Only_2026-05-15/HE-01-exterior-night-final.jpg,media/full/recommended-06.jpg,media/thumb/recommended-06.jpg,54f38d701ec8a3edc5e86cc455bdf20e0dccb291752b5da3245330d5948ef03b,4096,4096,8200662,424230,False
recommended,07,7,Enhanced neon heritage wall,interior-enhanced,UPLOAD_READY,EazyDiner + Zomato Dining,Strongest interior ambience asset. Communicates 1918 heritage and late-night warmth. Use across dining platforms.,/Users/nihaf/Desktop/HE_Enhanced_Internal_Ambience_Only_2026-05-15/HE-02-neon-wall-final.jpg,media/full/recommended-07.jpg,media/thumb/recommended-07.jpg,e2ec8dfdb66c0b51ae6969920c6db225fd2a626e56789a3772dec494ad8896a2,6072,2752,7195049,213412,False
recommended,08,8,Enhanced heritage counter,interior-enhanced,UPLOAD_READY,GMB + EazyDiner,Counter/display proof with warm lighting and menu wall. Good trust-building image for dine-in discovery.,/Users/nihaf/Desktop/HE_Enhanced_Internal_Ambience_Only_2026-05-15/HE-03-heritage-counter-final.jpg,media/full/recommended-08.jpg,media/thumb/recommended-08.jpg,86ac3b6bd74fbb7eaae2db8940c48efa9389bd2d2dd6d433e4a4329fad5340df,6072,2752,8039285,277456,False
recommended,09,9,Enhanced counter with staff,interior-enhanced,UPLOAD_READY,GMB + Swiggy Dineout,"Adds live service context. Keep because platforms need proof the outlet is active, not just a staged interior.",/Users/nihaf/Desktop/HE_Enhanced_Internal_Ambience_Only_2026-05-15/HE-04-counter-staff-final.jpg,media/full/recommended-09.jpg,media/thumb/recommended-09.jpg,1e488c98fcd0d0637de0da370284c4d4403bd8659391301ce771b529c945854b,6072,2752,7759370,245803,False
recommended,10,10,Enhanced dine-in floor,interior-enhanced,UPLOAD_READY,EazyDiner primary ambience,Best seating proof. Required for EazyDiner and Zomato Dining because guests need to see dine-in comfort.,/Users/nihaf/Desktop/HE_Enhanced_Internal_Ambience_Only_2026-05-15/HE-05-dinein-floor-final.jpg,media/full/recommended-10.jpg,media/thumb/recommended-10.jpg,9e385b47acebc3bc8b4b1e5317db51cf47e9f7c73ee402ae47aab31b61dabed2,4780,3584,7393868,275562,False
recommended,11,11,IMG 0480 - Raw seating aisle,interior-raw,ENHANCE,Ambience backup,New real seating angle distinct from enhanced finals. Needs exposure/vertical correction. Good 12-16 set filler after enhancement.,/Users/nihaf/Desktop/HE_Facade_Prompt_Pack_2026-05-15/01_zip_extract_all_originals/02_interior_ambience_raw/IMG_0480.JPG,media/full/recommended-11.jpg,media/thumb/recommended-11.jpg,9511500aac808e9fba1a74d289795a929fd189e1769217eef2d6f3eb01a98ed9,3648,5472,5239796,252488,False
recommended,12,12,IMG 0488 - Raw counter walkway,interior-raw,ENHANCE,GMB gallery,"Shows wall, menu panels, counter depth. Keep if enhanced to reduce yellow cast and straighten verticals.",/Users/nihaf/Desktop/HE_Facade_Prompt_Pack_2026-05-15/01_zip_extract_all_originals/02_interior_ambience_raw/IMG_0488.JPG,media/full/recommended-12.jpg,media/thumb/recommended-12.jpg,4c8a25a45526f0d5c208789259c510a62795bad65905533c328eb22fd3a4a204,3648,5472,5216506,251154,False
